action,total_yield,cash,trades,parameters,global
ACHL,,,,,
ACHL,,,,,
ACHL,,,,,
ACHL,,,,,
ACHL,,,,,
ACHV,,,,,
ACHV,,,,,
ACHV,,,,,
ACHV,,,,,
ACHV,,,,,
ACHV,,,,,
ACIU,,,,,
ACIU,,,,,
ACIU,,,,,
ACIU,,,,,
ACIU,,,,,
ACIU,,,,,
ACIW,,,,,
ACIW,,,,,
ACIW,,,,,
ACIW,,,,,
ACIW,,,,,
ACIW,,,,,
ACLS,,,,,
ACLS,,,,,
ACLS,,,,,
ACLS,,,,,
ACLS,,,,,
ACLS,,,,,
ACLX,,,,,
ACLX,,,,,
ACLX,,,,,
ACLX,,,,,
ACLX,,,,,
ACLX,,,,,
ACMR,,,,,
ACMR,,,,,
ACMR,,,,,
ACMR,,,,,
ACMR,,,,,
ACMR,,,,,
ACNB,,,,,
ACNB,,,,,
ACNB,,,,,
ACNB,,,,,
ACNB,,,,,
ACNB,,,,,
ACON,,,,,
ACON,,,,,
ACON,,,,,
ACON,,,,,
ACON,,,,,
ACON,,,,,
ACRS,,,,,
ACRS,,,,,
ACRS,,,,,
ACRS,,,,,
ACRS,,,,,
ACRS,,,,,
ACST,,,,,
ACST,,,,,
ACST,,,,,
ACST,,,,,
ACST,,,,,
ACST,,,,,
ACT,,,,,
ACT,,,,,
ACT,,,,,
ACT,,,,,
ACT,,,,,
ACT,,,,,
ACTG,,,,,
ACTG,,,,,
ACTG,,,,,
ACTG,,,,,
ACTG,,,,,
ACTG,,,,,
ACVA,,,,,
ACVA,,,,,
ACVA,,,,,
ACVA,,,,,
ACVA,,,,,
ACVA,,,,,
ACXP,,,,,
ACXP,,,,,
ACXP,,,,,
ACXP,,,,,
ACXP,,,,,
ACXP,,,,,
ADAP,,,,,
ADAP,,,,,
ADAP,,,,,
ADAP,,,,,
ADAP,,,,,
ADAP,,,,,
ADI,,,,,
ADI,,,,,
ADI,,,,,
ADI,,,,,
ADI,,,,,
ADI,,,,,
ADIL,,,,,
ADIL,,,,,
ADIL,,,,,
ADIL,,,,,
ADIL,,,,,
ADIL,,,,,
ADMA,,,,,
ADMA,,,,,
ADMA,,,,,
ADMA,"0,9879584627999999",987.9584627999999,"{'2024-02-28': {'gain': 0.98795846, 'date': datetime.date(2024, 2, 27), 'type': 'SL'}}","{'before_earning': 5, 'note': 0.24, 'TP': 0.04, 'further_day': 5}","{'trade': 1, 'duree': 1, 'plus': 0, 'yield': 0.98795846}"
ADMA,,,,,
ADMA,,,,,
ADP,,,,,
ADP,,,,,
ADP,,,,,
ADP,,,,,
ADP,,,,,
ADP,,,,,
ADPT,,,,,
ADPT,,,,,
ADPT,,,,,
ADPT,,,,,
ADPT,,,,,
ADPT,,,,,
ADUS,,,,,
ADUS,,,,,
ADUS,,,,,
ADUS,,,,,
ADUS,,,,,
ADUS,,,,,
ADV,,,,,
ADV,,,,,
ADV,,,,,
ADV,,,,,
ADV,,,,,
ADV,,,,,
ADVM,,,,,
ADVM,,,,,
ADVM,,,,,
ADVM,,,,,
ADVM,,,,,
ADVM,,,,,
AEHL,,,,,
AEHL,,,,,
AEHL,,,,,
AEHL,,,,,
AEHL,,,,,
AEHL,,,,,
AEIS,,,,,
AEIS,,,,,
AEIS,,,,,
AEIS,,,,,
AEIS,,,,,
AEIS,,,,,
AEMD,,,,,
AEMD,,,,,
AEMD,,,,,
AEMD,,,,,
AEMD,,,,,
AEMD,,,,,
AEP,,,,,
AEP,,,,,
AEP,,,,,
AEP,,,,,
AEP,,,,,
AEP,,,,,
AEYE,,,,,
AEYE,,,,,
AEYE,,,,,
AEYE,,,,,
AEYE,,,,,
AEYE,,,,,
AFCG,,,,,
AFCG,,,,,
AFCG,,,,,
AFCG,,,,,
AFCG,,,,,
AFCG,,,,,
AFRM,,,,,
AFRM,,,,,
AFRM,,,,,
AFRM,,,,,
AFRM,,,,,
AFRM,,,,,
AFYA,,,,,
AFYA,,,,,
AFYA,,,,,
AFYA,,,,,
AFYA,,,,,
AFYA,,,,,
AGIO,,,,,
AGIO,,,,,
AGIO,,,,,
AGIO,,,,,
AGIO,,,,,
AGIO,,,,,
AGNC,"0,9923063715600001",992.3063715600001,"{'2023-05-01': {'gain': 0.99230637, 'date': datetime.date(2023, 4, 21), 'type': 'end'}}","{'before_earning': 5, 'note': 0.3, 'TP': 0.1, 'further_day': 5}","{'trade': 1, 'duree': 10, 'plus': 0, 'yield': 0.99230637}"
AGNC,,,,,
AGNC,,,,,
AGNC,,,,,
AGNC,,,,,
AGNC,,,,,
AGYS,,,,,
AGYS,,,,,
AGYS,,,,,
AGYS,,,,,
AGYS,,,,,
AGYS,,,,,
AHCO,,,,,
AHCO,,,,,
AHCO,,,,,
AHCO,,,,,
AHCO,,,,,
AHCO,,,,,
AHG,,,,,
AHG,,,,,
AHG,,,,,
AHG,,,,,
AHG,,,,,
AHG,,,,,
AIP,,,,,
AIP,,,,,
AIP,,,,,
AIP,,,,,
AIP,,,,,
AIP,,,,,
AIRG,,,,,
AIRG,,,,,
AIRG,,,,,
AIRG,,,,,
